Indicator,Abbreviation,Scale,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"International Liquidity, Total Reserves excluding Gold, US Dollars",RAXG_USD,Millions,67962.4149142412,74894.0679784824,75889.985333445,54083.7158018481,54853.8747609669,59524.2344641401,66607.0060995362,119718.872595853,121391.80619794001,136912.226738474,139133.870857439,133533.46407319998,119048.48371124499,106539.635766333,106290.809152792,112251.905534783,114756.990011769,118437.71870620399,133849.095923967,240197.337193282,232716.63702782997,234110.80181175203
"International Reserves, Official Reserve Assets, SDRs, US Dollars",RAFASDR_USD,Millions,12165.7055639846,12637.640693888701,13627.5993350023,8209.77211502732,8870.09767630086,9476.41385119121,9340.391196127159,57813.618308116995,56824.4312328288,54954.7811002637,55050.351299927,55184.1070653622,51940.7906360833,49688.0746437632,48882.51057585781,51863.6682835336,50802.613504586196,50748.863306308194,52941.988829277805,163629.417805353,160537.43192268303,166498.12055572
"International Reserves, Official Reserve Assets, IMF Reserve Position, US Dollars",RAFAIMF_USD,Millions,21978.7093502566,22534.6005281139,19544.0788539427,8035.85879570079,5040.31756870604,4243.97751464891,7683.045531909001,11385.3963795755,12492.1875685316,30079.8230682902,34161.1375835317,30749.9303242776,25164.1921651521,17609.2118574194,18385.3160981039,17633.0054287996,22016.3551831325,26153.2790555854,36370.3558975393,35831.641733369004,34970.4593407265,30296.2061488717
"International Liquidity, Total Reserves excluding Gold, Foreign Exchange, US Dollars",RAXGFX_USD,Millions,33818,39721.8267564798,42718.3071445,37838.08489112,40943.45951596,45803.8430983,49583.5693715,50519.857908160004,52075.187396580004,51877.62256992,49922.38197398,47599.42668356,41943.50091001,39242.34926515,39022.98247883,42755.23182245,41938.02132405,41535.57634431,44536.75119715,40736.27765456,37208.74576442,37316.475107160004
"International Reserves, Official Reserve Assets, Gold (Including Gold Deposits and, If Appropriate, Gold Swapped), Volume in Millions of Fine Troy Ounces , Fine Troy Ounces",RAFAGOLDV_OZT,Millions,262,261.546469059,261.58631347,261.55053774,261.49889932,261.498899316,261.498899316,261.498899,261.498899,261.498899,261.498926247,261.498926247,261.49892623,261.49892623,261.49892623,261.498926241,261.498926241,261.498926241,261.498926241,261.49932629,261.49892624,261.49892624
"International Liquidity, Gold Holdings, National Valuation, US Dollars",RAFAGOLDNV_USD,Millions,11043,11043.067320290002,11044.749639149999,11043.239108799999,11041.05882109,11041.05882109,11041.05882109,11041.058821,11041.058821,11041.059486540002,11041.05995816,11041.05995816,11041.059958459999,11041.059957459998,11041.059957459998,11041.059957899999,11041.059957899999,11041.059957899999,11041.059957899999,11041.07684885,11041.059957899999,11041.059957899999
"Monetary, Central Bank Survey, Net Foreign Assets, Claims on Non-residents, Other Foreign Assets, International Liquidity, US Dollars",FASAFOIL_USD,Millions,,,,,,14000.0,553728.0,10272.0,75.0,99823.0,8889.0,273.0,1528.0,997.0,4826.0,12008.0,4207.0,3729.0,17883.0,3341.0,412,1359
"Monetary, Central Bank Survey, Net Foreign Assets, Liabilities To Non-residents, Other Foreign Liabilities, International Liquidity, US Dollars",FASLFOIL_USD,Millions,20535,25814,30025,30457,32218,40639.0,89717.0,72719.0,62916.0,89052.0,106016.0,116992.0,118374.0,226303.0,255010.0,244296.0,250006.0,254249.0,230942.0,287955.0,342583,356395
"Monetary, Other Depository Corporations Survey, Net Foreign Assets, Claims on Non-residents, US Dollars",FOSAF_USD,Millions,852513.915416705,936847.5199398311,1117965.67974454,1287144.54157885,1635613.37070504,2050398.37604196,1820028.2866943101,2434729.8243861203,2591154.41725102,2392626.90166031,2336757.83975824,2296651.2285305,2304945.84776315,2229391.4404818397,2314523.86792544,2494314.11702686,2458154.89726269,2843622.22373041,3052504.19139031,3270573.3379841098,3332538.5225534798,
"Monetary, Other Depository Corporations Survey, Net Foreign Assets, Liabilities to Non-residents, US Dollars",FOSLF_USD,Millions,828238.226859446,978679.7099391441,1228520.81191623,1361928.82167049,1759556.89898071,1887128.53735096,2077569.47716481,2224745.0585157997,2304371.44898458,2485598.27607755,2231989.60344513,2469616.93086146,2453961.88824996,2259806.90605375,2219343.56513796,2408532.0779071697,2347596.42878302,2401680.52709323,2606535.13961325,2789939.1383917597,2984354.86375175,
"Monetary, Other Financial Corporations Survey, Net foreign Assets, Claims on Non-residents, US Dollars",FFSAF_USD,Millions,1486677.2669046498,2011480.11623337,2485871.97765397,2966244.68327368,3663463.80579323,4394625.53774016,2978172.3264997797,3788058.7309726803,4495391.55995968,4348303.26921077,5043580.3152586,5530820.1155873705,5709978.19221266,5485466.813240821,5809264.22505265,7095172.60296018,6534957.52039093,7703582.626266231,8273817.7598165,9025735.17416731,,
"Monetary, Other Financial Corporations Survey, Net foreign Assets, Liabilities to Non-residents, US Dollars",FFSLF_USD,Millions,1173880.43078372,1411384.7127671898,1841701.01576743,2189919.34456593,2910709.83090786,3356898.10573442,2727474.7103314,2889204.43580592,2708597.46366572,2636662.1575043397,2479047.75976644,2426648.4357853997,2426619.88023485,2410186.14713478,2558051.60010894,2668066.6625455697,2746778.20675655,2837095.63408098,2872836.56839706,2982823.61612031,,
